record_id,Node,Link,DateTime,qkdQber,qkdKeyRate,qkdVisibility,qkdLaserPower,neCpuLoad,neMemUsage,neTemperature,attenuation,humidity,device_mode,snmp_status,log_message,event_type,root_cause,sop_action,operator_action,anomaly,missing_data
13,NodeD,Link3,2025-06-01 00:24:00,0.02221512848381512,1127.8475875108966,0.9892269043235339,0.9133326080370717,29,46,40.0,18.776092622150248,74,secure,OK,Data missing,normal,,monitor,,0,1
14,NodeB,Link1,2025-06-01 00:26:00,0.01797943177670176,1500.0,0.9877225011775326,1.2512743689321495,54,30,49.250862364506055,17.077004783367972,58,diag,OK,System OK,normal,,monitor,,0,0
15,NodeB,Link2,2025-06-01 00:28:00,0.022766872271899448,1189.6153433156705,0.9864102762687803,1.304868589058978,47,52,56.75782959499214,15.664973146766554,75,secure,OK,System OK,normal,,monitor,,0,0
16,NodeB,Link2,2025-06-01 00:30:00,0.021769186444160336,1322.0859850227744,0.9722831864270005,1.0812103434642115,51,36,46.42682872502174,16.156551894740158,72,secure,OK,System OK,normal,,monitor,,0,0
17,NodeD,Link1,2025-06-01 00:32:00,0.016470931134949834,1236.2408364104253,0.9323409474719094,1.5,54,48,47.41713983742163,17.302074324170928,66,secure,OK,System OK,normal,,monitor,,0,0
18,NodeB,Link2,2025-06-01 00:34:00,0.02133674125234481,1023.0781918890337,0.9678979041937238,1.2781226917177417,44,35,45.791729254405176,15.92103042508085,68,standby,OK,System OK,normal,,monitor,,0,0
19,NodeA,Link1,2025-06-01 00:36:00,0.019268254078897516,1151.935185944577,0.9750804087460099,1.2014498523075803,37,45,47.71941551778435,17.956312008519966,62,standby,OK,System OK,normal,,monitor,,0,0
20,NodeB,Link2,2025-06-01 00:38:00,0.02738225364869636,1353.7661392638272,0.99,0.8920972592714094,26,80,42.876220082414825,17.441057933793395,63,secure,OK,System OK,normal,,monitor,,0,0
21,NodeA,Link1,2025-06-01 00:40:00,0.018911857946863085,1263.985222195094,0.9636063661807991,1.3095621370281947,48,30,52.6062747568634,15.115562149864045,71,secure,OK,System OK,normal,,monitor,,0,0
22,NodeD,Link3,2025-06-01 00:42:00,0.0150064177878621,1158.5233124253527,0.9752981177532989,1.0079863675797667,21,58,41.40680155629649,17.50865989010535,62,secure,OK,System OK,normal,,monitor,,0,0
23,NodeD,Link3,2025-06-01 00:44:00,0.015911832661579688,1005.1739300360218,0.9584081563669218,1.2214768801633151,32,37,51.52438968009364,15.568206635550121,57,diag,OK,System OK,normal,,monitor,,0,0
24,NodeA,Link2,2025-06-01 00:46:00,0.014611375656787759,1339.881669151051,0.9482850503401401,1.2278478528717103,33,53,43.70283472515398,16.682683143447452,78,secure,OK,System OK,normal,,monitor,,0,0
25,NodeC,Link3,2025-06-01 00:48:00,0.016884883429940985,1168.440450671544,0.9847679392427034,1.22136914114016,36,46,49.039688433846,14.447121266163599,61,secure,OK,System OK,normal,,monitor,,0,0
26,NodeB,Link2,2025-06-01 00:50:00,0.0245322147888921,1197.0025339539145,0.99,1.2031452272429155,31,34,66.93759133938471,14.668956687754987,55,secure,OK,System OK,normal,,monitor,,0,0
27,NodeC,Link2,2025-06-01 00:52:00,0.025176152893193058,1203.6079813516112,0.9687554473171768,1.0584768455436064,50,40,47.148563909643684,17.042702442649833,59,secure,OK,System OK,normal,,monitor,,0,0
28,NodeA,Link3,2025-06-01 00:54:00,0.0206926760342605,1148.8262874656466,0.9510666084640006,1.1696816564162125,24,63,51.26700830710625,14.47757935482448,63,standby,OK,System OK,normal,,monitor,,0,0
29,NodeD,Link3,2025-06-01 00:56:00,0.01973453033911326,895.1063839443341,0.9750906848123925,1.125134889404826,38,46,49.246898658834375,14.612644759201226,69,secure,OK,System OK,normal,,monitor,,0,0
30,NodeA,Link1,2025-06-01 00:58:00,0.02102798837086559,1346.3617301299232,0.9497103356350522,1.1763832808976005,30,61,47.06391644327505,16.447382926200593,44,secure,OK,System OK,normal,,monitor,,0,0
31,NodeB,Link3,2025-06-01 01:00:00,0.0237237147015013,1375.5282507622733,0.9721865572522314,0.9796335537004297,36,74,50.17131161634321,15.987402363566497,58,secure,OK,System OK,normal,,monitor,,0,0
32,NodeB,Link1,2025-06-01 01:02:00,0.0133955559966876,1500.0,0.9717739364897255,1.1383731351966668,32,50,67.3073544350046,16.51877735759136,68,secure,OK,System OK,normal,,monitor,,0,0
33,NodeB,Link1,2025-06-01 01:04:00,0.02714880358308794,1098.8901512097896,0.9473857939801165,1.2785441730465221,28,63,46.71716809454515,18.30455672513229,61,secure,OK,System OK,normal,,monitor,,0,0
34,NodeA,Link3,2025-06-01 01:06:00,0.016955951659633872,1174.2076884688797,0.9863888183900537,1.1287106617390734,28,71,40.137611515572175,16.415503903973093,64,secure,OK,System OK,normal,,monitor,,0,0
35,NodeC,Link1,2025-06-01 01:08:00,0.01997984249920225,998.331827778335,0.9827980486062935,1.2825301034787573,41,76,58.66796660288922,15.78452779340619,68,secure,OK,System OK,normal,,monitor,,0,0
36,NodeA,Link1,2025-06-01 01:10:00,0.01869140073194117,1500.0,0.972772967773571,0.9343016522410136,37,30,40.0,18.944366940743098,67,secure,OK,System OK,normal,,monitor,,0,0
37,NodeB,Link3,2025-06-01 01:12:00,0.022425584675544764,1205.7274364459588,0.964096268529191,0.939742370153595,57,39,45.759224338527154,18.942305692475383,69,secure,OK,System OK,normal,,monitor,,0,0
38,NodeB,Link2,2025-06-01 01:14:00,0.022025897568674204,1331.123600925986,0.9501494858037173,1.2911697143272711,37,67,50.851815770521696,14.649876076012728,63,secure,OK,System OK,normal,,monitor,,0,0
39,NodeD,Link3,2025-06-01 01:16:00,0.010913146201417642,1229.6782035953672,0.9570740218687497,1.4458344457955195,48,51,56.83723746984563,15.580585956650319,40,secure,OK,System OK,normal,,monitor,,0,0
40,NodeD,Link2,2025-06-01 01:18:00,0.017373710722911592,1345.4599193191464,0.970843122268996,1.06315189262464,36,50,42.076025993109454,15.96499948963649,54,secure,OK,System OK,normal,,monitor,,0,0
41,NodeB,Link1,2025-06-01 01:20:00,0.028589734617823263,1010.3529894529465,0.9743165763551906,1.1611573773525499,41,43,54.917151818726055,17.54590282291806,51,secure,OK,System OK,normal,,monitor,,0,0
42,NodeB,Link2,2025-06-01 01:22:00,0.01650634286884133,1500.0,0.9851131910662854,1.2084398845378341,39,39,57.49238516605924,14.769512671935868,68,secure,OK,System OK,normal,,monitor,,0,0
43,NodeC,Link3,2025-06-01 01:24:00,0.032279715866822795,1284.6252340167828,0.961752617380594,0.9410465726244498,26,42,58.902409306504,18.61981042340742,73,secure,OK,System OK,normal,,monitor,,0,0
44,NodeD,Link3,2025-06-01 01:26:00,0.019410005624127074,1112.1081953564587,0.9601758345939413,1.2030659396388028,43,55,48.45167352621619,16.46838552244053,75,diag,OK,System OK,normal,,monitor,,0,0
45,NodeD,Link3,2025-06-01 01:28:00,0.018684697560111378,1381.8807006212785,0.9580252948477431,1.088480811410856,34,70,49.286663530980775,17.56397623563481,76,secure,OK,System OK,normal,,monitor,,0,0
46,NodeD,Link2,2025-06-01 01:30:00,0.017813234795367987,1500.0,0.9493359218826076,1.328133357275386,29,30,52.374582059731075,18.764113156482082,57,secure,OK,System OK,normal,,monitor,,0,0
47,NodeC,Link3,2025-06-01 01:32:00,0.017249849529352747,1041.4649257083875,0.9536114625195877,1.2257881308739553,45,48,40.0,14.931070347572199,72,secure,OK,System OK,normal,,monitor,,0,0
48,NodeA,Link2,2025-06-01 01:34:00,0.021222803790178903,1492.292704917165,0.9614027311456614,0.9177048756257702,40,54,49.007152272514794,16.908693056449216,57,secure,OK,System OK,normal,,monitor,,0,0
49,NodeB,Link1,2025-06-01 01:36:00,0.01068546796461609,1298.6090415268382,0.9352082815286525,1.2130818461274533,49,55,46.950559945105525,18.39067260431226,61,standby,OK,System OK,normal,,monitor,,0,0
50,NodeC,Link2,2025-06-01 01:38:00,0.01471361428103822,1500.0,0.99,0.9508251349933912,37,31,48.74278152116746,14.109045160412448,79,secure,OK,System OK,normal,,monitor,,0,0
51,NodeD,Link2,2025-06-01 01:40:00,0.021671415957407906,1330.2707413304433,0.9781437094959924,1.1876189167994782,21,51,49.84070366685963,18.92362486452583,73,secure,OK,System OK,normal,,monitor,,0,0
52,NodeA,Link1,2025-06-01 01:42:00,0.02175952688831585,1476.083033374391,0.9783666510752849,1.4096772294198,25,40,61.527005109582106,16.35089327399195,60,secure,OK,System OK,normal,,monitor,,0,0
53,NodeB,Link3,2025-06-01 01:44:00,0.020776181660688196,1241.4930796116682,0.9738908007223918,1.1370477938289416,33,37,44.110102851525866,15.579988372313741,53,secure,OK,System OK,normal,,monitor,,0,0
54,NodeD,Link1,2025-06-01 01:46:00,0.023468640721668727,1010.8159094796863,0.9789841260893161,0.8063840916086247,40,47,50.64567410370898,16.819232747719692,60,secure,OK,System OK,normal,,monitor,,0,0
55,NodeC,Link1,2025-06-01 01:48:00,0.022723928429628552,1076.7750206650862,0.99,1.3052252757276397,44,59,41.94395887539025,17.204914737771077,61,secure,OK,System OK,normal,,monitor,,0,0
56,NodeB,Link1,2025-06-01 01:50:00,0.018883199604696928,1216.0892062612575,0.9756401136130881,0.9958722452235493,57,50,60.0262729175103,15.765433236956573,71,secure,OK,System OK,normal,,monitor,,0,0
57,NodeA,Link3,2025-06-01 01:52:00,0.027189071096757434,1401.791474346664,0.9624514735919975,1.343460241364416,33,42,54.633174911518864,15.044470418214901,57,secure,OK,System OK,normal,,monitor,,0,0
58,NodeB,Link1,2025-06-01 01:54:00,0.0201407266275124,1433.6196398419008,0.9698560679624743,0.8547075234919705,36,43,42.967741721673185,14.995094142454189,66,standby,OK,System OK,normal,,monitor,,0,0
59,NodeB,Link2,2025-06-01 01:56:00,0.014673993982166988,908.8271871313555,0.9730081843379221,0.9619257716557569,33,69,55.88902588268003,16.876395386208998,61,secure,OK,System OK,normal,,monitor,,0,0
60,NodeB,Link3,2025-06-01 01:58:00,0.01978444255894097,1243.2832599170165,0.99,1.212010424350987,38,57,40.0,16.093007721753153,58,standby,OK,System OK,normal,,monitor,,0,0
61,NodeC,Link2,2025-06-01 02:00:00,0.026646308783951606,1456.9414368700047,0.9759318499966129,1.020185955951616,43,58,46.115336053744784,17.32218438777875,66,secure,OK,System OK,normal,,monitor,,0,0
62,NodeA,Link2,2025-06-01 02:02:00,0.023369416805793918,1349.1280762291776,0.9727205810284261,1.0165494072684393,30,35,59.956232452783695,16.081883502219412,58,secure,OK,System OK,normal,,monitor,,0,0
63,NodeB,Link1,2025-06-01 02:04:00,0.0266239852091113,1022.1085192107209,0.974681051976616,1.1387200994945852,55,70,56.71830526488602,15.153365413921085,59,secure,OK,System OK,normal,,monitor,,0,0
64,NodeB,Link2,2025-06-01 02:06:00,0.01807076366149508,1306.9261306276087,0.9664498298395773,1.0107653207332499,41,44,57.39666771348952,15.847459897352755,60,secure,OK,System OK,normal,,monitor,,0,0
65,NodeC,Link3,2025-06-01 02:08:00,0.015619029100147366,1500.0,0.99,1.189247066128596,61,63,46.583232826941064,16.15519734157948,63,secure,OK,System OK,normal,,monitor,,0,0
66,NodeA,Link2,2025-06-01 02:10:00,0.019772224045334956,1278.5110044498995,0.9726543811510957,1.1375653802250747,40,80,51.68805131330988,15.759150434230653,54,secure,OK,System OK,normal,,monitor,,0,0
67,NodeC,Link2,2025-06-01 02:12:00,0.01553178445081645,1121.8570610994896,0.9492632303658557,0.8956209351875674,25,64,49.28418701820961,18.855924354259148,52,secure,OK,System OK,normal,,monitor,,0,0
68,NodeC,Link3,2025-06-01 02:14:00,0.02323789398606694,994.6088335395538,0.99,1.009062787581208,33,31,58.81251950645203,17.757582968702973,68,secure,WARNING,System OK,normal,,monitor,,0,0
69,NodeA,Link3,2025-06-01 02:16:00,0.020944466701766952,1034.0086555661055,0.9764754833322111,1.210481302527226,30,31,51.78509569787477,16.024663628496018,70,secure,OK,System OK,normal,,monitor,,0,0
70,NodeC,Link1,2025-06-01 02:18:00,0.01898773990296554,1074.2343508222084,0.9528167650775078,1.1284877209312716,54,30,47.3261889317881,17.547259126251713,67,secure,OK,System OK,normal,,monitor,,0,0
71,NodeC,Link1,2025-06-01 02:20:00,0.02209928831318718,943.8381952231808,0.9376683091962106,1.0867531357698919,27,65,54.757113402245764,16.209366284746256,47,diag,OK,System OK,normal,,monitor,,0,0
72,NodeD,Link2,2025-06-01 02:22:00,0.01715215194789683,1132.1384714102896,0.9550570771079205,1.2759898169592636,46,53,40.0,17.126017680437155,62,diag,OK,System OK,normal,,monitor,,0,0
73,NodeD,Link3,2025-06-01 02:24:00,0.018054103728493497,1402.3374562547322,0.9859252235144527,1.2269628361889944,46,30,53.83632031211822,16.43527605131794,55,secure,OK,System OK,normal,,monitor,,0,0
74,NodeB,Link1,2025-06-01 02:26:00,0.01834631417703541,1214.2048436458658,0.971248649909224,1.0126539259048017,41,48,40.0,21.36961614074577,58,secure,OK,System OK,normal,,monitor,,0,0
75,NodeA,Link3,2025-06-01 02:28:00,0.020796386097973286,1259.5298866776814,0.9707431724755626,1.2772094384895407,44,49,49.448898231746334,16.308503232564185,59,secure,OK,System OK,normal,,monitor,,0,0
76,NodeC,Link3,2025-06-01 02:30:00,0.018334483683027758,1253.0282047716676,0.946844003062131,1.2567673316672394,41,64,45.0250032052967,16.711408005875253,69,secure,OK,System OK,normal,,monitor,,0,0
77,NodeD,Link1,2025-06-01 02:32:00,0.020977194667982913,1500.0,0.99,1.2064368934976328,36,58,42.85218117091909,16.988602641774467,75,secure,OK,Data missing,normal,,monitor,,0,1
78,NodeA,Link2,2025-06-01 02:34:00,0.02683804321563778,1293.6030746204183,0.976699698535735,1.060697583778261,35,47,58.63645077204305,15.68277896471753,60,secure,OK,System OK,normal,,monitor,,0,0
79,NodeB,Link3,2025-06-01 02:36:00,0.01987068262922668,1500.0,0.99,1.0656520726964032,30,36,46.937171853409176,15.189432746913877,49,secure,WARNING,System OK,normal,,monitor,,0,0
80,NodeA,Link1,2025-06-01 02:38:00,0.01,1280.5639337728153,0.9493964039711965,1.0134256518804028,39,44,51.789429632447494,18.14960364408198,66,secure,OK,System OK,normal,,monitor,,0,0
81,NodeC,Link3,2025-06-01 02:40:00,0.02009724080417143,1184.613573082665,0.9814528081274794,1.1987583911225606,34,58,56.34267447079762,16.41480163091451,61,standby,OK,System OK,normal,,monitor,,0,0
82,NodeD,Link3,2025-06-01 02:42:00,0.017417687521818423,1172.707207467099,0.9485268701618256,1.2200296767504895,24,50,43.28065968516138,15.682635273023878,75,secure,OK,System OK,normal,,monitor,,0,0
83,NodeD,Link2,2025-06-01 02:44:00,0.013785846277123433,1300.626106671112,0.9511116582930986,1.3021357508540845,28,32,48.570575915773894,15.431480927595768,63,secure,OK,System OK,normal,,monitor,,0,0
84,NodeB,Link1,2025-06-01 02:46:00,0.02265478382617165,1145.7829863244356,0.987614803117147,1.2603261357181266,45,51,41.42341254377026,14.099075765112811,58,secure,OK,System OK,normal,,monitor,,0,0
85,NodeC,Link1,2025-06-01 02:48:00,0.018010147183228638,1151.8415442887504,0.99,1.0925438858992496,46,56,59.17073337456386,18.72574476514259,65,secure,OK,System OK,normal,,monitor,,0,0
86,NodeB,Link3,2025-06-01 02:50:00,0.01965813625612133,1048.993515639356,0.99,1.1473181478311065,47,52,54.875010464534355,19.247952268799402,58,secure,OK,System OK,normal,,monitor,,0,0
87,NodeB,Link1,2025-06-01 02:52:00,0.019468423592432733,1368.3208144699088,0.9856096134259726,1.1629059203446992,42,38,55.50994157845242,16.82649492732713,56,secure,OK,System OK,normal,,monitor,,0,0
88,NodeB,Link2,2025-06-01 02:54:00,0.01920918263211345,1186.7022917313027,0.9764279641636374,0.946943614517215,40,33,53.3608387290917,16.177328863966757,71,secure,OK,System OK,normal,,monitor,,0,0
89,NodeA,Link2,2025-06-01 02:56:00,0.021788381960481364,1224.8081030967423,0.94935260505251,1.0975484215990259,43,33,40.0,18.454667709931595,68,secure,OK,System OK,normal,,monitor,,0,0
90,NodeB,Link2,2025-06-01 02:58:00,0.02083087987627348,1162.921677722375,0.9737981486434718,1.012211977419256,32,63,46.143971766601915,16.673403581571385,64,secure,OK,System OK,normal,,monitor,,0,0
91,NodeC,Link2,2025-06-01 03:00:00,0.02338511281628406,1232.696798363684,0.9746184501165921,1.3450543070729295,37,58,45.43568323609566,18.23295996821508,58,standby,OK,System OK,normal,,monitor,,0,0
92,NodeA,Link3,2025-06-01 03:02:00,0.02713772471189319,1249.8633158845264,0.9876879491976411,1.1969149030213877,52,54,56.62718579117096,15.606425767507298,59,standby,OK,System OK,normal,,monitor,,0,0
93,NodeD,Link3,2025-06-01 03:04:00,0.02569962081899595,1312.0740213518443,0.9758077932944386,1.0861286814468019,27,36,40.0,17.665711477370067,64,secure,OK,System OK,normal,,monitor,,0,0
94,NodeB,Link1,2025-06-01 03:06:00,0.022000437302014487,1008.6458621328895,0.968173957304418,0.9954135728433138,27,55,54.96627103917027,17.534914889401534,56,secure,WARNING,System OK,normal,,monitor,,0,0
95,NodeC,Link1,2025-06-01 03:08:00,0.021720637481184236,1291.587772969642,0.99,1.220660856066433,47,49,58.065583558750454,16.75688838321359,54,secure,OK,System OK,normal,,monitor,,0,0
96,NodeA,Link1,2025-06-01 03:10:00,0.01388911748681402,1144.2552052849355,0.9538613906802996,1.1041894104730854,39,48,55.95836313090516,15.181122759486627,66,secure,OK,System OK,normal,,monitor,,0,0
97,NodeC,Link3,2025-06-01 03:12:00,0.02540932209928861,969.0558619002712,0.9701544255084639,1.2030163648271186,36,50,56.410948375383946,18.459241130453872,71,secure,OK,System OK,normal,,monitor,,0,0
98,NodeA,Link3,2025-06-01 03:14:00,0.022846550345262756,1307.733504136319,0.9776740068778377,0.9710400543236167,26,70,42.547945041839846,18.06909973011436,83,secure,WARNING,System OK,normal,,monitor,,0,0
99,NodeB,Link3,2025-06-01 03:16:00,0.014968134317261208,1205.5366639598337,0.9569289758405242,1.2757181570375855,34,41,62.669955946781826,15.780858571774562,54,secure,OK,System OK,normal,,monitor,,0,0
100,NodeC,Link2,2025-06-01 03:18:00,0.01915909197818214,937.7880677869164,0.9726014571858621,0.9915636099689392,42,50,42.11861754149097,15.10849845578413,67,secure,OK,System OK,normal,,monitor,,0,0
101,NodeB,Link3,2025-06-01 03:20:00,0.02555770756592495,1144.5434656860566,0.9813035333682061,1.2117557381106319,29,35,48.427291584993625,17.290221154265954,74,secure,OK,System OK,normal,,monitor,,0,0
102,NodeB,Link2,2025-06-01 03:22:00,0.02062292077387373,1000.4896082734763,0.9751170707054729,1.1717736514345303,20,72,53.980085541989254,17.19174889994063,70,secure,OK,System OK,normal,,monitor,,0,0
103,NodeC,Link1,2025-06-01 03:24:00,0.01662051714528581,1082.0278507468338,0.9634907663609992,1.075476971889694,43,59,46.22095158136743,17.368112328297364,74,secure,OK,System OK,normal,,monitor,,0,0
104,NodeC,Link2,2025-06-01 03:26:00,0.017054073950796497,1052.389036214385,0.9583577331256072,1.1980174393869536,35,66,46.41614155754274,15.374325198146419,67,secure,OK,Data missing,normal,,monitor,,0,1
105,NodeC,Link2,2025-06-01 03:28:00,0.015164606963956759,874.0321304066133,0.9381294788958081,0.9624438210674875,40,51,48.01932720872285,16.45257715654633,60,secure,WARNING,Data missing,normal,,monitor,,0,1
106,NodeA,Link1,2025-06-01 03:30:00,0.01565054788169468,1227.2335136508054,0.99,1.1741129766755485,38,52,49.20729642328382,18.277469047628706,73,secure,OK,System OK,normal,,monitor,,0,0
107,NodeC,Link2,2025-06-01 03:32:00,0.02233423632239079,1396.89220583137,0.9676752841018702,0.99063848777725,37,65,52.57164512754569,16.524973299729066,48,secure,OK,System OK,normal,,monitor,,0,0
108,NodeB,Link1,2025-06-01 03:34:00,0.02106470893096655,953.4302380795461,0.9645150208944496,1.150194188421418,35,37,42.7401012323179,16.56663502010796,59,secure,OK,System OK,normal,,monitor,,0,0
109,NodeD,Link1,2025-06-01 03:36:00,0.01653151597460044,1500.0,0.9500202680803037,1.059879054326486,37,43,48.15808598372034,12.63650902411416,47,secure,OK,System OK,normal,,monitor,,0,0
110,NodeD,Link2,2025-06-01 03:38:00,0.022442162659639227,1341.4322154916867,0.9682778891372157,1.0927099766810153,20,49,50.61646319442626,13.581961068261617,57,secure,OK,System OK,normal,,monitor,,0,0
111,NodeD,Link3,2025-06-01 03:40:00,0.012849010747271832,1074.8332321667124,0.9410512655798696,1.050819425742321,41,44,45.53794634458462,15.202232952025295,65,secure,OK,System OK,normal,,monitor,,0,0
112,NodeB,Link1,2025-06-01 03:42:00,0.019610550168043285,989.2346253342472,0.9561555147146527,0.9415769891988427,50,55,55.63291391105444,18.0907675613487,55,secure,OK,System OK,normal,,monitor,,0,0
113,NodeD,Link2,2025-06-01 03:44:00,0.019661671619922258,950.2135301357657,0.9813851398158687,1.0804219593902726,20,36,44.11390998234228,17.659300692321153,55,diag,OK,System OK,normal,,monitor,,0,0
114,NodeB,Link1,2025-06-01 03:46:00,0.015662254579842702,1500.0,0.9774220601615019,1.3362181741226733,39,54,53.09619501711999,16.57481639846791,38,secure,WARNING,System OK,normal,,monitor,,0,0
115,NodeA,Link2,2025-06-01 03:48:00,0.015403928004652581,1140.1785709846731,0.9703971869392977,1.2952758945191922,42,47,49.44502316117232,17.73470000406377,62,standby,OK,System OK,normal,,monitor,,0,0
116,NodeC,Link3,2025-06-01 03:50:00,0.01640345915260792,1462.562877698594,0.9599181830822331,1.210750867132059,42,49,40.0,17.632989499574567,58,standby,OK,System OK,normal,,monitor,,0,0
117,NodeA,Link2,2025-06-01 03:52:00,0.018575408879298486,1204.4512623210928,0.9572131602616964,1.1590022507172668,26,44,44.386755918981095,17.08379922685156,70,standby,OK,System OK,normal,,monitor,,0,0
118,NodeD,Link3,2025-06-01 03:54:00,0.012367531159981822,1011.6702061903925,0.9671835625517476,1.1226969723038944,29,45,40.0,15.613461403444942,71,secure,WARNING,System OK,normal,,monitor,,0,0
119,NodeC,Link3,2025-06-01 03:56:00,0.02632521904233888,1256.9312641767244,0.9646685299858275,1.1572693537908192,41,57,61.96971976075363,14.723493812041305,70,secure,OK,System OK,normal,,monitor,,0,0
120,NodeC,Link1,2025-06-01 03:58:00,0.02313674583021366,1500.0,0.9512331844980624,1.2292167710527626,44,30,44.996226796994925,17.785610060420698,73,secure,OK,System OK,normal,,monitor,,0,0
121,NodeD,Link1,2025-06-01 04:00:00,0.019420706515118454,1230.3651869871815,0.9770333285783747,1.301565881426664,45,73,40.520477317204204,17.047500263075896,63,secure,OK,System OK,normal,,monitor,,0,0
122,NodeA,Link2,2025-06-01 04:02:00,0.02075651109559195,1248.8868408471958,0.99,1.1579609171700966,47,67,44.98518359136179,19.752539989733183,55,secure,OK,System OK,normal,,monitor,,0,0
123,NodeB,Link1,2025-06-01 04:04:00,0.01962362761477717,1232.5628982753008,0.956479518889617,1.4152319033448066,53,67,50.61281584213454,13.453229870218722,64,standby,OK,System OK,normal,,monitor,,0,0
124,NodeA,Link1,2025-06-01 04:06:00,0.02472459106524491,1003.9089468594885,0.9791654119409621,1.2299014039057252,40,34,60.40173926971141,17.176169248293327,70,diag,OK,System OK,normal,,monitor,,0,0
125,NodeC,Link2,2025-06-01 04:08:00,0.015758022678495198,1232.4743336001964,0.99,1.0369263067252668,35,68,49.317657512217856,16.98523399358954,70,secure,OK,System OK,normal,,monitor,,0,0
126,NodeB,Link1,2025-06-01 04:10:00,0.024783748619475774,1256.904232748505,0.9802229859687468,1.0424370821761677,40,60,49.37462550323173,15.971055194220353,69,secure,OK,System OK,normal,,monitor,,0,0
127,NodeD,Link2,2025-06-01 04:12:00,0.017572201669865683,997.4095308392265,0.9386941286019389,1.1160402439906167,42,41,56.66218961117323,14.88440938469579,79,secure,OK,System OK,normal,,monitor,,0,0
128,NodeA,Link3,2025-06-01 04:14:00,0.02190264692654582,1367.6771139251514,0.9695711116756027,0.9965858501780012,28,45,48.80783345767305,14.853180242578315,46,secure,OK,System OK,normal,,monitor,,0,0
129,NodeC,Link2,2025-06-01 04:16:00,0.019426645446010783,1154.109880464972,0.9675405685188769,1.4048079390803112,43,42,48.003344251424906,17.48605448195901,72,secure,OK,System OK,normal,,monitor,,0,0
130,NodeB,Link2,2025-06-01 04:18:00,0.014674040297759008,1105.8675612463305,0.9515466958286015,1.2546796313655622,31,34,50.78091355229747,16.522572871701964,73,secure,OK,System OK,normal,,monitor,,0,0
131,NodeC,Link1,2025-06-01 04:20:00,0.018688198155499224,1254.548758483853,0.9679518629720951,1.1709000295029048,20,46,46.63210413692668,13.138197863363313,49,secure,OK,System OK,normal,,monitor,,0,0
132,NodeA,Link3,2025-06-01 04:22:00,0.01693032709518643,1384.205803040994,0.972189194254171,1.3110717798532519,42,53,53.27635326386243,18.702019063123075,68,secure,OK,System OK,normal,,monitor,,0,0
133,NodeA,Link1,2025-06-01 04:24:00,0.029648443526584516,1307.5701488875918,0.9733338096425198,1.2437667923174205,23,47,40.0,17.320474426321503,66,secure,OK,System OK,normal,,monitor,,0,0
