text,label
SOP for node reset,general_sop
Operational manual for quantum link,general_sop
Standard startup sequence for node B,general_sop
SOP for emergency shutdown,general_sop
Guide to replacing fiber cable,general_sop
Operational manual for quantum link,general_sop
Operational manual for quantum link,general_sop
Guide to replacing fiber cable,general_sop
Steps for environmental monitoring check,general_sop
Standard startup sequence for node E,general_sop
Documentation on calibration routine,general_sop
SOP for node reset,general_sop
Documentation on calibration routine,general_sop
Documentation on calibration routine,general_sop
How to inspect connectors on node C,general_sop
Documentation on calibration routine,general_sop
Documentation on calibration routine,general_sop
Guide to replacing fiber cable,general_sop
Operational manual for quantum link,general_sop
Operational manual for quantum link,general_sop
SOP for emergency shutdown,general_sop
SOP for node reset,general_sop
Shutdown procedure for node C,general_sop
Documentation on calibration routine,general_sop
Shutdown procedure for node B,general_sop
Guide to replacing fiber cable,general_sop
Steps for environmental monitoring check,general_sop
Standard startup sequence for node C,general_sop
How to inspect connectors on node A,general_sop
Steps for environmental monitoring check,general_sop
Steps for environmental monitoring check,general_sop
SOP for node reset,general_sop
Steps for environmental monitoring check,general_sop
Guide to replacing fiber cable,general_sop
How to inspect connectors on node F,general_sop
SOP for emergency shutdown,general_sop
Guide to replacing fiber cable,general_sop
Maintenance checklist,general_sop
Maintenance checklist,general_sop
Maintenance checklist,general_sop
How to inspect connectors on node D,general_sop
SOP for node reset,general_sop
Shutdown procedure for node F,general_sop
SOP for emergency shutdown,general_sop
SOP for node reset,general_sop
Standard startup sequence for node E,general_sop
How to inspect connectors on node C,general_sop
SOP for node reset,general_sop
Maintenance checklist,general_sop
Operational manual for quantum link,general_sop
How to inspect connectors on node C,general_sop
SOP for node reset,general_sop
How to inspect connectors on node C,general_sop
Maintenance checklist,general_sop
Documentation on calibration routine,general_sop
Maintenance checklist,general_sop
Guide to replacing fiber cable,general_sop
Maintenance checklist,general_sop
Standard startup sequence for node A,general_sop
SOP for node reset,general_sop
SOP for emergency shutdown,general_sop
SOP for emergency shutdown,general_sop
Shutdown procedure for node D,general_sop
SOP for node reset,general_sop
SOP for emergency shutdown,general_sop
SOP for emergency shutdown,general_sop
Operational manual for quantum link,general_sop
Shutdown procedure for node E,general_sop
Check fault on node A,fault_diagnosis
Check fault on node B,fault_diagnosis
Check fault on node C,fault_diagnosis
Check fault on node D,fault_diagnosis
Check fault on node E,fault_diagnosis
Check fault on node F,fault_diagnosis
Check fault status on node A,fault_diagnosis
Check fault status on node B,fault_diagnosis
Check fault status on node C,fault_diagnosis
Check for faults on node A,fault_diagnosis
Check for faults on node B,fault_diagnosis
Check for faults on node C,fault_diagnosis
Check QKD fault detection for NodeA,fault_diagnosis
Check QKD fault detection for NodeB,fault_diagnosis
Check QKD fault detection for NodeC,fault_diagnosis
Diagnose fault on node A,fault_diagnosis
Diagnose fault on node B,fault_diagnosis
Diagnose fault on node C,fault_diagnosis
Check anomalies on node A,fault_diagnosis
Check anomalies on node B,fault_diagnosis
Check anomalies on node C,fault_diagnosis
Check error status on node A,fault_diagnosis
Check error status on node B,fault_diagnosis
Check error status on node C,fault_diagnosis
Check if node A has any faults,fault_diagnosis
Check if node B has any faults,fault_diagnosis
Check if node C has any faults,fault_diagnosis
Check quantum channel faults on node A,fault_diagnosis
Check quantum channel faults on node B,fault_diagnosis
Check quantum channel faults on node C,fault_diagnosis
Verify fault conditions on node A,fault_diagnosis
Verify fault conditions on node B,fault_diagnosis
Verify fault conditions on node C,fault_diagnosis
Investigate faults on node A,fault_diagnosis
Investigate faults on node B,fault_diagnosis
Investigate faults on node C,fault_diagnosis
Check system errors on node A,fault_diagnosis
Check system errors on node B,fault_diagnosis
Check system errors on node C,fault_diagnosis
Run fault diagnostics on node A,fault_diagnosis
Run fault diagnostics on node B,fault_diagnosis
Run fault diagnostics on node C,fault_diagnosis
Check node A for operational issues,fault_diagnosis
Check node B for operational issues,fault_diagnosis
Check node C for operational issues,fault_diagnosis
Perform fault analysis on node A,fault_diagnosis
Perform fault analysis on node B,fault_diagnosis
Perform fault analysis on node C,fault_diagnosis
Check QBER issues on node A,fault_diagnosis
Check QBER issues on node B,fault_diagnosis
Check QBER issues on node C,fault_diagnosis
Check key rate problems on node A,fault_diagnosis
Check key rate problems on node B,fault_diagnosis
Check key rate problems on node C,fault_diagnosis
Check visibility degradation on node A,fault_diagnosis
Check visibility degradation on node B,fault_diagnosis
Check visibility degradation on node C,fault_diagnosis
Troubleshoot node A issues,fault_diagnosis
Troubleshoot node B issues,fault_diagnosis
Troubleshoot node C issues,fault_diagnosis
Check laser power faults on node A,fault_diagnosis
Check laser power faults on node B,fault_diagnosis
Check laser power faults on node C,fault_diagnosis
Check temperature issues on node A,fault_diagnosis
Check temperature issues on node B,fault_diagnosis
Check temperature issues on node C,fault_diagnosis
Check CPU load problems on node A,fault_diagnosis
Check CPU load problems on node B,fault_diagnosis
Check CPU load problems on node C,fault_diagnosis
Check memory usage faults on node A,fault_diagnosis
Check memory usage faults on node B,fault_diagnosis
Check memory usage faults on node C,fault_diagnosis
What is wrong with node A,fault_diagnosis
What is wrong with node B,fault_diagnosis
What is wrong with node C,fault_diagnosis
What's wrong with node A,fault_diagnosis
What's wrong with node B,fault_diagnosis
What's wrong with node C,fault_diagnosis
What's the problem with node A,fault_diagnosis
What's the problem with node B,fault_diagnosis
What's the problem with node C,fault_diagnosis
Any issues with node A,fault_diagnosis
Any issues with node B,fault_diagnosis
Any issues with node C,fault_diagnosis
Node A has problems,fault_diagnosis
Node B has problems,fault_diagnosis
Node C has problems,fault_diagnosis
Something wrong with node A,fault_diagnosis
Something wrong with node B,fault_diagnosis
Something wrong with node C,fault_diagnosis
Node A is having issues,fault_diagnosis
Node B is having issues,fault_diagnosis
Node C is having issues,fault_diagnosis
Problems detected on node A,fault_diagnosis
Problems detected on node B,fault_diagnosis
Problems detected on node C,fault_diagnosis
Issues found on node A,fault_diagnosis
Issues found on node B,fault_diagnosis
Issues found on node C,fault_diagnosis
Node A showing errors,fault_diagnosis
Node B showing errors,fault_diagnosis
Node C showing errors,fault_diagnosis
Node A malfunction,fault_diagnosis
Node B malfunction,fault_diagnosis
Node C malfunction,fault_diagnosis
What is wrong with node 1,fault_diagnosis
What is wrong with node 2,fault_diagnosis
What is wrong with node 10,fault_diagnosis
Check fault on node 123,fault_diagnosis
Check fault on node XYZ,fault_diagnosis
Check fault on node Alpha,fault_diagnosis
Check fault on node Beta,fault_diagnosis
Node D has problems,fault_diagnosis
Node E has problems,fault_diagnosis
Node F has problems,fault_diagnosis
Node G showing errors,fault_diagnosis
Node H malfunction,fault_diagnosis
Node I issues,fault_diagnosis
Node J problems,fault_diagnosis
What's wrong with quantum node 1,fault_diagnosis
What's wrong with quantum node 2,fault_diagnosis
Issues with QKD node A,fault_diagnosis
Issues with QKD node B,fault_diagnosis
Problems with QKD node C,fault_diagnosis
